max_rpm,s20,s30,s40,s50,s60,s70,s80,s90,s100,s110,s120,s130,s140,s150,path,fee,duration(min),root_dist(km)
0.07,121,239,120,60,0,0,0,0,0,0,0,0,0,0,"대장로,오정로,마곡중앙로",10110,21,7.4
0.07,120,120,61,60,121,0,0,0,0,0,0,0,0,0,"올림픽대로,가양대로,월드컵북로",8930,19,7.7
0.02,121,239,121,0,60,0,0,0,0,0,0,0,0,0,"올림픽대로,가양대로,월드컵북로",8930,19,7.7
-0.07,180,180,242,361,59,360,240,601,0,0,0,0,0,0,"용유서로,영종해안북로,제2경인고속도로(인천대교)",30200,36,38
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"양천로,마곡중앙8로1길,마곡동로10길",3800,3,0.642
0.1,119,180,119,60,0,61,0,0,0,0,0,0,0,0,"올림픽대로,가양대로,월드컵북로",9230,20,8
-0.06,180,241,181,60,0,0,0,0,0,0,0,0,0,0,"올림픽대로,가양대로,월드컵북로",9030,19,7.8
0.01,120,360,121,0,61,0,0,0,0,0,0,0,0,0,"올림픽대로,가양대로,월드컵북로",8730,18,7.4
0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"양천로47가길,양천로47길,-",3800,1,0.069
0.1,241,120,181,60,0,0,0,0,0,0,0,0,0,0,"올림픽대로,화곡로,가양대로",8250,18,7.5
-0.01,240,242,120,0,60,0,0,0,0,0,0,0,0,0,"올림픽대로,가양대로,월드컵북로",8730,18,7.5
0.07,180,238,181,60,59,0,0,0,0,0,0,0,0,0,"올림픽대로,가양대로,월드컵북로",9230,20,8
-0.07,121,241,120,0,61,0,0,0,0,0,0,0,0,0,"올림픽대로,가양대로,월드컵북로",9130,20,8
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"양천로47가길,양천로47길,-",3800,1,0.069
-0.04,241,0,119,121,60,0,0,0,0,0,0,0,0,0,"올림픽대로,가양대로,월드컵북로",8730,18,7.5
-0.02,179,61,120,61,0,60,0,0,0,0,0,0,0,0,"올림픽대로,가양대로,월드컵북로",9030,20,7.9
0.01,301,59,0,181,60,120,61,0,0,0,0,0,0,0,"양천로,강서로,올림픽대로",10100,23,10
0.0,121,60,120,120,0,0,0,0,0,0,0,0,0,0,"올림픽대로,가양대로,월드컵북로",9130,20,8
0.0,121,121,179,180,0,0,0,0,0,0,0,0,0,0,"올림픽대로,가양대로,월드컵북로",9030,20,7.9
-0.03,181,240,59,0,0,60,62,0,0,0,0,0,0,0,"올림픽대로,가양대로,월드컵북로",8930,19,7.7
0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"양천로47가길,양천로49길,양천로",3800,2,0.844
0.1,60,179,242,0,61,0,0,0,0,0,0,0,0,0,"올림픽대로,가양대로,월드컵북로",8730,18,7.5
0.01,181,120,181,61,0,60,0,0,0,0,0,0,0,0,"올림픽대로,가양대로,월드컵북로",8930,19,7.7
0.0,0,181,180,0,0,0,0,0,0,0,0,0,0,0,"올림픽대로,가양대로,월드컵북로",9130,20,8
2425.28,156,132,95,0,0,0,0,0,0,0,0,0,0,0,"공항대로,화곡로,양천로",5700,17,3.4
2369.64,417,212,233,321,264,75,0,0,0,0,0,0,0,0,"공항대로,노들로,여의대로",12400,33,11
4242.66,222,186,105,109,173,112,201,250,103,0,0,0,0,0,"양천로,올림픽대로,사평대로",25700,73,24
2143.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"양천로1길,-,-",3800,1,0.032
2476.41,37,97,76,107,619,0,0,0,0,0,0,0,0,0,"개화동로,김포대로,정서진로",16050,23,15
1466.4,0,0,0,2,14,62,0,0,0,0,0,0,0,0,"올림픽대로,-,-",3800,4,1.5
0.0,40,40,40,0,0,0,0,0,0,0,0,0,0,0,"마곡서1로,방화대로,방화대로47길",3800,8,1.8
0.07,106,41,39,0,41,0,0,0,0,0,0,0,0,0,"방화대로47가길,방화대로47길,올림픽대로",3800,4,1.7
0.0,0,0,0,0,0,0,20,60,0,0,0,0,0,0,"올림픽대로,-,-",3900,5,2.1
0.01,158,57,80,20,0,0,0,0,0,0,0,0,0,0,"화곡로,강서로,강서로52길",4400,11,2.5
0.0,132,182,20,40,0,0,0,0,0,0,0,0,0,0,"공항대로,방화대로,방화대로47길",5500,12,4.1
0.02,61,40,0,0,0,0,0,0,0,0,0,0,0,0,"마곡서1로,방화대로,양천로",4100,10,2.4
0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-,-,-",3800,1,0.001
0.09,20,0,0,0,0,0,0,0,0,0,0,0,0,0,"방화동로,공항대로3길,방화동로",3800,1,0.432
-0.07,121,101,20,20,100,101,200,80,40,0,0,0,0,0,"양천로,방화대로,올림픽대로",13500,30,13
0.08,40,20,21,20,20,20,0,0,0,0,0,0,0,0,"양천로,방화대로,방화대로",4600,9,3
-0.01,41,20,0,0,0,0,0,0,0,0,0,0,0,0,"방화대로,방화대로48길,양천로27길",3800,6,1.4
0.09,20,0,0,0,0,20,20,0,0,0,0,0,0,0,"방화대로,방화대로52길,양천로27길",3800,4,1.4
0.0,0,0,0,0,0,0,0,21,20,20,0,0,0,0,"올림픽대로,방화대로,올림픽대로",7800,12,7
-0.07,42,0,20,0,0,0,0,0,0,0,0,0,0,0,"방화대로34길,방화대로40길,방화대로",3800,3,0.811
-0.01,181,80,21,0,20,0,0,0,0,0,0,0,0,0,"양천로,방화대로,올림픽대로",3800,3,1
0.09,80,40,20,0,0,0,0,0,0,0,0,0,0,0,"방화대로47길,방화대로,마곡서1로",4300,11,2.3
