index,s_lat,s_lng,e_lat,e_lng,max_rpm,s20,s30,s40,s50,s60,s70,s80,s90,s100,s110,s120,s130,s140,s150,path,fee,duration(min),root_dist(km),med_est_dist,diff,pc1,pc2,clusters,time_sum,avg_speed,target,s,e
18436,35.1767266,128.9539966,35.1767733,128.95108,1838.25,6,27,5,0,0,0,0,0,0,0,0,0,0,0,"공항로811번나길,공항로811번나길,공항앞길",4550,2,1.2,0.36666666666666664,0.8333333333333333,-0.037788626788023916,-0.0047441414769507145,0,0.010555555555555556,34.73684210526316,1,"[35.1767266, 128.9539966]","[35.1767733, 128.95108]"
18444,35.1768383,128.95067,35.1767899,128.9540999,2221.44,14,27,0,0,0,0,0,0,0,0,0,0,0,0,"공항앞길,공항로811번나길,-",4550,1,0.589,0.3597222222222222,0.22927777777777775,-0.05040332688680311,-0.011033302909888144,0,0.01138888888888889,31.585365853658534,0,"[35.1768383, 128.95067]","[35.1767899, 128.9540999]"
18445,35.1770183,128.9540766,35.1769,128.9507583,2457.79,3,20,12,7,0,0,0,0,0,0,0,0,0,0,"공항로811번나길,공항앞길,-",4550,1,0.585,0.4722222222222222,0.11277777777777775,-0.05043160019955908,-0.011016361703617266,0,0.011666666666666667,40.476190476190474,2,"[35.1770183, 128.9540766]","[35.1769, 128.9507583]"
18446,35.1769,128.9507583,35.18074,128.9577983,1786.02,9,19,61,7,0,0,0,0,0,0,0,0,0,0,"공항앞길,공항진입로,-",4550,2,1.0,1.1166666666666667,0.1166666666666667,-0.039202292425822224,-0.003897081163406763,0,0.02666666666666667,41.875,2,"[35.1769, 128.9507583]","[35.18074, 128.9577983]"
18447,35.18074,128.9577983,35.2018133,128.971395,2175.8,0,6,5,0,42,28,0,0,0,0,0,0,0,0,"공항진입로,공항로,-",5930,2,2.7,1.4625,1.2375000000000003,-0.02081149564904899,-0.019078107599263074,0,0.0225,65.0,3,"[35.18074, 128.9577983]","[35.2018133, 128.971395]"
18449,35.174315,128.959705,35.1789966,128.9581133,2148.56,7,11,0,5,9,0,0,0,0,0,0,0,0,0,"공항로,공항로811번길,공항로811번다길",4550,1,0.727,0.39444444444444443,0.33255555555555555,-0.04942789759672228,-0.011617774526233469,0,0.008888888888888889,44.375,2,"[35.174315, 128.959705]","[35.1789966, 128.9581133]"
18450,35.1789966,128.9581133,35.1768316,128.9506766,1647.3,80,0,0,0,0,0,0,0,0,0,0,0,0,0,"공항로811번다길,공항앞길13번길,공항로811번나길",4550,3,1.1,0.5555555555555556,0.5444444444444445,-0.030199508031617698,0.004556319370635465,0,0.022222222222222223,25.0,0,"[35.1789966, 128.9581133]","[35.1768316, 128.9506766]"
18452,35.1767616,128.95424,35.177065,128.9506416,2062.42,19,18,5,0,0,0,0,0,0,0,0,0,0,0,"공항로811번나길,공항로811번나길,공항앞길",4550,3,1.2,0.36944444444444446,0.8305555555555555,-0.029492675212718544,0.004132789213863487,0,0.011666666666666667,31.666666666666668,0,"[35.1767616, 128.95424]","[35.177065, 128.9506416]"
18462,35.1726783,128.9519949,35.1681149,128.9560116,2031.48,40,9,48,0,0,0,0,0,0,0,0,0,0,0,"공항앞길221번길,유통단지1로58번길,유통단지1로",4550,2,0.902,0.9652777777777778,0.06327777777777777,-0.039894988588343394,-0.0034820216097702266,0,0.026944444444444444,35.824742268041234,1,"[35.1726783, 128.9519949]","[35.1681149, 128.9560116]"
18465,35.1768,128.953745,35.1767683,128.9506449,2237.88,0,29,14,0,0,0,0,0,0,0,0,0,0,0,"공항로811번나길,공항앞길51번길,공항앞길",4550,1,0.61,0.45694444444444443,0.15305555555555556,-0.05025489199483429,-0.01112224424281026,0,0.011944444444444445,38.25581395348837,1,"[35.1768, 128.953745]","[35.1767683, 128.9506449]"
18467,35.165165,128.9592283,35.14698,128.9516216,2186.78,0,4,0,10,40,0,0,0,0,0,0,0,0,0,"공항로,-,-",5290,2,2.2,0.9138888888888889,1.2861111111111114,-0.027302013995365106,-0.013259117095643091,0,0.015,60.925925925925924,3,"[35.165165, 128.9592283]","[35.14698, 128.9516216]"
18468,35.1461633,128.9512749,35.1322916,128.94458,1831.62,18,4,9,14,0,0,0,0,0,0,0,0,0,0,"공항로,-,-",4550,1,1.7,0.49027777777777776,1.2097222222222221,-0.04255041426883353,-0.015738722951624796,0,0.0125,39.22222222222222,1,"[35.1461633, 128.9512749]","[35.1322916, 128.94458]"
18469,35.1314016,128.9441033,35.1209616,128.9379349,1806.99,5,0,0,9,0,0,0,0,0,0,0,0,0,0,"공항로,-,-",4550,1,1.3,0.17222222222222222,1.1277777777777778,-0.04537774554443014,-0.014044602324536892,0,0.0038888888888888888,44.285714285714285,2,"[35.1314016, 128.9441033]","[35.1209616, 128.9379349]"
18474,35.1768816,128.9542466,35.1768316,128.9506683,2089.53,35,9,0,0,0,0,0,0,0,0,0,0,0,0,"공항로811번나길,공항로811번나길,공항앞길",4550,2,1.2,0.33055555555555555,0.8694444444444445,-0.037788626788023916,-0.0047441414769507145,0,0.012222222222222223,27.045454545454543,0,"[35.1768816, 128.9542466]","[35.1768316, 128.9506683]"
18477,35.1768483,128.9507116,35.1798266,128.9535983,2044.35,46,14,15,25,0,0,0,0,0,0,0,0,0,0,"공항앞길,-,-",4550,1,0.47500000000000003,1.025,0.5499999999999998,-0.05120911630034814,-0.010550478531168092,0,0.027777777777777776,36.9,1,"[35.1768483, 128.9507116]","[35.1798266, 128.9535983]"
18484,35.1768633,128.9509066,35.1808766,128.9542916,1808.91,15,0,0,0,0,0,0,0,0,0,0,0,0,0,"공항앞길,공항로811번길,-",4550,1,0.673,0.10416666666666667,0.5688333333333334,-0.049809587318927824,-0.011389068241576603,0,0.004166666666666667,25.0,0,"[35.1768633, 128.9509066]","[35.1808766, 128.9542916]"
18528,35.1748133,128.9597166,35.17684,128.9508466,4440.7,79,32,36,2,8,7,0,0,0,0,0,0,0,0,"공항로,공항로791번길,공항로811번나길",4550,3,1.7,1.6305555555555555,0.06944444444444442,-0.025958511118222782,0.002015138430003608,0,0.04555555555555556,35.792682926829265,1,"[35.1748133, 128.9597166]","[35.17684, 128.9508466]"
18529,35.17684,128.9508466,35.1766583,128.9540416,2078.58,26,7,10,0,0,0,0,0,0,0,0,0,0,0,"공항앞길,공항로811번나길,-",4550,1,0.58,0.3736111111111111,0.20638888888888884,-0.050466941840504036,-0.010995185195778667,0,0.011944444444444445,31.27906976744186,0,"[35.17684, 128.9508466]","[35.1766583, 128.9540416]"
18538,35.1946083,128.9637749,35.2036516,128.9740149,1851.3,3,0,10,11,13,19,0,0,0,0,0,0,0,0,"공항로,-,-",4550,1,1.4,0.9444444444444444,0.4555555555555555,-0.04467091272553099,-0.014468132481308868,0,0.015555555555555555,60.714285714285715,3,"[35.1946083, 128.9637749]","[35.2036516, 128.9740149]"
18551,35.17693,128.9507633,35.1768916,128.9540633,2634.330078,26,12,6,0,0,0,0,0,0,0,0,0,0,0,"공항앞길,공항로811번나길,-",4550,1,0.527,0.37222222222222223,0.1547777777777778,-0.05084156323452058,-0.010770714212689518,0,0.012222222222222223,30.454545454545453,0,"[35.17693, 128.9507633]","[35.1768916, 128.9540633]"
18552,35.1768566,128.9540549,35.176775,128.9507233,1836.49,10,0,0,0,0,0,0,0,0,0,0,0,0,0,"공항로811번나길,공항로811번나길,공항앞길",4550,2,1.2,0.06944444444444445,1.1305555555555555,-0.037788626788023916,-0.0047441414769507145,0,0.002777777777777778,25.0,0,"[35.1768566, 128.9540549]","[35.176775, 128.9507233]"
18557,35.1426933,128.9500566,35.1488833,128.9521,2321.55,12,12,4,37,16,0,0,0,0,0,0,0,0,0,"공항로,공항로,-",4550,2,1.3,1.1041666666666667,0.1958333333333333,-0.03708179396912476,-0.00516767163372269,0,0.0225,49.074074074074076,3,"[35.1426933, 128.9500566]","[35.1488833, 128.9521]"
18572,35.176605,128.9505966,35.1814066,128.9534333,1899.06,97,119,53,0,0,0,0,0,0,0,0,0,0,0,"공항앞길,공항진입로,공항진입로",4550,4,1.5,2.4930555555555554,0.9930555555555554,-0.019076225180715712,0.011739129434361761,0,0.07472222222222222,33.36431226765799,0,"[35.176605, 128.9505966]","[35.1814066, 128.9534333]"
