device_id,s_date,e_date,s_lat,s_lng,e_lat,e_lng,max_rpm,s20,s30,s40,s50,s60,s70,s80,s90,s100,s110,s120,s130,s140,s150,start_gps,end_gps,distance,start_add,end_add,s_teukbyul_si/do,s_teukbyulsi/goon/gu,s_dong/eup/myun,e_teukbyulsi/do,e_teukbyulsi/goon/gu,e_dong/eup/myun,road_list,duration,fee,root_dist
864000000000000.0,2021-06-09 11:00,2021-06-09 11:00,37.5715766,126.8043999,37.5933483,126.69312,2601.599,64.064,111.111,25.025,127.127,134.134,266.266,90.9565506,0.0,37.037,0.0,0.0,0.0,0.0,0.0,"37.5715766, 126.8043999","37.5933483, 126.69312",10.100344469700902,서울특별시 강서구 방화동 523-22,인천광역시 서구 당하동 93,서울특별시,강서구,방화동,인천광역시,서구,당하동,원활 개화동로 1.2km 원활 김포대로 977m 원활 드림로 9.1km,13분,"16,170원",13km
862000000000000.0,2021-06-09 23:00,2021-06-09 23:00,37.5413283,126.871085,37.5625916,126.8623516,2039.037,307.307,73.073,34.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"37.5413283, 126.871085","37.5625916, 126.8623516",2.486565639923983,서울특별시 양천구 목동 231-37,서울특별시 강서구 가양3동 1485-3,서울특별시,양천구,목동,서울특별시,강서구,가양3동,미확인 목동중앙본로 553m 서행 목동중앙북로 777m 미확인 공항대로59길 591m,7분,"5,750원",3.4km
864000000000000.0,2021-06-09 23:00,2021-06-10 0:00,35.176515,128.9509666,35.1896316,128.6126333,2900.898,60.06,129.129,309.309,395.395,738.738,538.538,410.41,156.693924,0.0,0.0,0.0,0.0,0.0,0.0,"35.176515, 128.9509666","35.1896316, 128.6126333",30.782768852937803,부산광역시 강서구 대저2동 2401-2,경상남도 창원시 성산구 귀현동 42-7,부산광역시,강서구,대저2동,경상남도,창원시,성산구,원활 남해제2고속도로지선 16km 원활 금관대로 3.4km 원활 남해안대로 12km,37분,"61,500원",43km
864000000000000.0,2021-06-09 23:00,2021-06-09 23:00,35.1768016,128.9507883,35.1775966,128.95059,1446.019043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"35.1768016, 128.9507883","35.1775966, 128.95059",0.0902186645424499,부산광역시 강서구 공항앞길 116,부산광역시 강서구 대저2동 2157-1,부산광역시,강서구,공항앞길,부산광역시,강서구,대저2동,미확인 공항앞길 97m 미확인 공항진입로 180m,1분,"4,550원",323m
864000000000000.0,2021-06-09 23:00,2021-06-09 23:00,35.17698,128.9506716,35.1768533,128.950595,1282.281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"35.17698, 128.9506716","35.1768533, 128.950595",0.0157147556974801,부산광역시 강서구 공항앞길 116,부산광역시 강서구 대저2동 2162-1,부산광역시,강서구,공항앞길,부산광역시,강서구,대저2동,미확인 공항앞길 51m,1분,"4,550원",57m
864000000000000.0,2021-06-09 23:00,2021-06-09 23:00,37.532395,126.881185,37.5614283,126.8638683,5548.543,139.139,150.8716736,70.07,37.037,43.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"37.532395, 126.881185","37.5614283, 126.8638683",3.571137165441807,서울특별시 양천구 목동 912-4,서울특별시 강서구 가양동 1487-1,서울특별시,양천구,목동,서울특별시,강서구,가양동,원활 국회대로 1.1km 원활 서부간선도로 2.4km 서행 올림픽대로 3.6km,11분,"10,750원",8.8km
864000000000000.0,2021-06-09 23:00,2021-06-10 0:00,35.1660416,128.95726,35.2090299,128.67505,2527.525,87.087,203.203,304.304,198.198,580.9331665,25.025,183.183,83.083,0.0,20.02,0.0,0.0,0.0,0.0,"35.1660416, 128.95726","35.2090299, 128.67505",26.087894984935247,부산광역시 강서구 대저2동 3274,경상남도 창원시 성산구 외동 853-5,부산광역시,강서구,대저2동,경상남도,창원시,성산구,원활 남해제2고속도로지선 16km 원활 금관대로 7.1km 원활 창원대로 5.2km,27분,"43,640원",30km
864000000000000.0,2021-06-09 23:00,2021-06-10 1:00,35.1768083,128.9509483,35.0618533,129.0098349,2111.109,343.1263428,467.467,467.467,468.468,87.4180603,7.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"35.1768083, 128.9509483","35.0618533, 129.0098349",13.859151626629178,부산광역시 강서구 대저2동 2162-5,부산광역시 해원냉장,부산광역시,강서구,대저2동,부산광역시,해원냉장,,원활 공항로 7km 원활 낙동남로 3.8km 미확인 원양로 3.3km,32분,"27,250원",21km
864000000000000.0,2021-06-09 23:00,2021-06-10 0:00,35.1767966,128.9509683,35.1633033,128.829915,3083.08,67.067,110.11,195.195,177.177,223.223,326.326,11.011,33.033,27.027,0.0,0.0,0.0,0.0,0.0,"35.1767966, 128.9509683","35.1633033, 128.829915",11.105082485646257,부산광역시 강서구 대저2동 2162-5,경상남도 김해시 장유면 장유리 604-1,부산광역시,강서구,대저2동,경상남도,김해시,장유면,미확인 유통단지1로58번길 636m 미확인 공항로 1.2km 원활 남해제2고속도로지선 16km,18분,"27,760원",19km
864000000000000.0,2021-06-10 0:00,2021-06-10 1:00,37.5933483,126.69312,37.5676583,126.8251599,3840.837,137.137,193.193,109.109,107.107,130.13,245.245,64.064,55.055,0.0,0.0,0.0,0.0,0.0,0.0,"37.5933483, 126.69312","37.5676583, 126.8251599",11.981116761069217,인천광역시 서구 당하동 93,서울특별시 강서구 마곡동 365-21,인천광역시,서구,당하동,서울특별시,강서구,마곡동,원활 드림로 9.2km 서행 개화동로 1.6km 미확인 초원로 1km,23분,"18,270원",16km
864000000000000.0,2021-06-10 1:00,2021-06-10 2:00,37.5614233,126.8639883,37.6366949,127.068865,5718.777832,588.588,409.409,350.35,199.199,205.205,217.217,32.032,109.109,27.027,0.0,0.0,0.0,0.0,0.0,"37.5614233, 126.8639883","37.6366949, 127.068865",19.895776683729125,서울특별시 강서구 가양동 1487-1,서울특별시 노원구 하계동 284-2,서울특별시,강서구,가양동,서울특별시,노원구,하계동,원활 올림픽대로 3.5km 원활 내부순환로 15km 원활 북부간선도로 3.5km,30분,"29,650원",30km
862000000000000.0,2021-06-10 1:00,2021-06-10 1:00,37.5625916,126.8623516,37.5611466,126.8633883,1957.956,7.007,6.006,9.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"37.5625916, 126.8623516","37.5611466, 126.8633883",0.1848435393412243,서울특별시 강서구 가양3동 1485-3,서울특별시 강서구 가양동 1485-4,서울특별시,강서구,가양3동,서울특별시,강서구,가양동,미확인 허준로 238m,1분,"4,600원",300m
862000000000000.0,2021-06-10 1:00,2021-06-10 1:00,37.5611483,126.8633183,37.5579816,126.8627633,1982.981,0.0,63.48159409,14.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"37.5611483, 126.8633183","37.5579816, 126.8627633",0.3555036160779182,서울특별시 강서구 가양동 허준로,서울특별시 강서구 양천로 583,서울특별시,강서구,가양동,서울특별시,강서구,양천로,서행 허준로 876m 원활 올림픽대로 2.9km 서행 양천로 614m,7분,"7,330원",5.1km
864000000000000.0,2021-06-10 1:00,2021-06-10 2:00,35.1767583,128.9508716,35.1377416,128.8577383,4313.309,124.124,169.169,143.143,298.298,189.189,79.079,28.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"35.1767583, 128.9508716","35.1377416, 128.8577383",9.513598354880996,부산광역시 강서구 공항앞길 116,부산광역시 강서구 구랑동 397,부산광역시,강서구,공항앞길,부산광역시,강서구,구랑동,미확인 공항로 1.2km 서행 남해제2고속도로지선 6.8km 원활 가락대로 3.7km,19분,"21,430원",16km
864000000000000.0,2021-06-10 2:00,2021-06-10 2:00,35.1777016,128.9506866,35.3729449,129.2606,3420.417,91.091,232.232,162.162,188.188,180.18,480.48,385.385,317.317,417.417,0.0,0.0,0.0,0.0,0.0,"35.1777016, 128.9506866","35.3729449, 129.2606",35.53606448589133,부산광역시 강서구 대저2동 2157,부산광역시 기장군 장안읍 명례리 167,부산광역시,강서구,대저2동,부산광역시,기장군,장안읍,원활 중앙고속도로(삼락-대동) 5.2km 원활 부산외곽순환고속도로 23km 원활 동해고속도로(부산-울산) 6.8km,40분,"69,750원",48km
862000000000000.0,2021-06-10 2:00,2021-06-10 2:00,37.5579816,126.8627633,37.5485766,126.8631733,2284.282,86.82712555,60.06,15.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"37.5579816, 126.8627633","37.5485766, 126.8631733",1.0464141079035931,서울특별시 강서구 양천로 583,서울특별시 강서구 등촌동 510-13,서울특별시,강서구,양천로,서울특별시,강서구,등촌동,미확인 양천로 173m 미확인 공항대로59길 591m 서행 등촌로 318m,3분,"4,600원",1.1km
862000000000000.0,2021-06-10 2:00,2021-06-10 3:00,37.5485766,126.8631733,37.4900983,126.7757233,2727.725,76.076,256.256,272.272,168.168,49.049,5.005,223.223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"37.5485766, 126.8631733","37.4900983, 126.7757233",10.087929759577426,서울특별시 강서구 등촌동 510-13,경기도 부천시 원미구 신흥로67번길 34,서울특별시,강서구,등촌동,경기도,부천시,원미구,NaN,NaN,NaN,NaN
864000000000000.0,2021-06-10 3:00,2021-06-10 3:00,35.1377416,128.8577383,35.1377383,128.8576583,1010.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"35.1377416, 128.8577383","35.1377383, 128.8576583",0.0072838159164124,부산광역시 강서구 구랑동 397,부산광역시 강서구 구랑동 396,부산광역시,강서구,구랑동,부산광역시,강서구,구랑동,,,,
864000000000000.0,2021-06-10 3:00,2021-06-10 3:00,35.1377566,128.8577683,35.1376883,128.8576766,700.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"35.1377566, 128.8577683","35.1376883, 128.8576766",0.011278673134716,부산광역시 강서구 구랑동 397,부산광역시 강서구 구랑동 417-5,부산광역시,강서구,구랑동,부산광역시,강서구,구랑동,미확인 미음산단로139번길 87m,1분,"4,550원",133m
864000000000000.0,2021-06-10 3:00,2021-06-10 4:00,35.3729449,129.2606,35.1768633,128.9507833,3170.167,104.5470657,135.135,118.118,213.213,485.485,208.208,568.568,364.1975708,237.237,0.0,0.0,0.0,0.0,0.0,"35.3729449, 129.2606","35.1768633, 128.9507833",35.58626560846763,부산광역시 기장군 장안읍 명례리 167,부산광역시 강서구 공항앞길 116,부산광역시,기장군,장안읍,부산광역시,강서구,공항앞길,원활 동해고속도로(부산-울산) 6.5km 원활 부산외곽순환고속도로 23km 원활 중앙고속도로(삼락-대동) 6.8km,38분,"64,810원",48km
864000000000000.0,2021-06-10 4:00,2021-06-10 4:00,35.1768633,128.9507833,35.17666,128.9508133,777.5992432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"35.1768633, 128.9507833","35.17666, 128.9508133",0.0227698059606932,부산광역시 강서구 공항앞길 116,부산광역시 강서구 대저2동 2401-5,부산광역시,강서구,공항앞길,부산광역시,강서구,대저2동,,1분,"4,550원",29m
864000000000000.0,2021-06-10 4:00,2021-06-10 5:00,35.1376883,128.8576766,35.2281533,129.0929033,3942.939,458.458,334.334,280.28,305.5383911,359.359,319.319,260.26,116.116,33.033,0.0,0.0,0.0,0.0,0.0,"35.1376883, 128.8576766","35.2281533, 129.0929033",23.626207878429465,부산광역시 강서구 구랑동 417-5,부산광역시 금정구 동부곡로5번길 56,부산광역시,강서구,구랑동,부산광역시,금정구,동부곡로5번길,원활 가락대로 5.2km 원활 서낙동로 6.3km 서행 남해고속도로 5.5km,37분,"45,520원",32km
864000000000000.0,2021-06-10 5:00,2021-06-10 6:00,35.0618816,129.00964,35.1423916,128.949285,2462.46,261.261,206.3949127,363.363,303.303,35.035,27.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"35.0618816, 129.00964","35.1423916, 128.949285",10.501937631942113,부산광역시 서구 암남동 721,부산광역시 강서구 대저2동 5190,부산광역시,서구,암남동,부산광역시,강서구,대저2동,서행 원양로 3.5km 원활 낙동남로 3.1km 원활 공항로 4km,24분,"21,450원",16km
864000000000000.0,2021-06-10 6:00,2021-06-10 7:00,35.1593266,128.6954766,35.1768183,128.9508566,3213.21,213.213,88.088,270.27,331.331,499.499,249.249,311.0413818,27.027,128.128,9.009,0.0,0.0,0.0,0.0,"35.1593266, 128.6954766","35.1768183, 128.9508566",23.29491436051157,경상남도 창원시 진해구 석동 518-1,부산광역시 강서구 공항앞길 116,경상남도,창원시,진해구,부산광역시,강서구,공항앞길,원활 해원로 4.1km 원활 금관대로 7km 원활 남해제2고속도로지선 16km,30분,"50,090원",33km
864000000000000.0,2021-06-10 6:00,2021-06-10 6:00,35.2281533,129.0927816,35.1768816,128.9507983,4007.003,182.182,124.2509995,122.122,335.335,238.238,104.104,104.104,5.005,0.0,8.008,0.0,0.0,0.0,0.0,"35.2281533, 129.0927816","35.1768816, 128.9507983",14.104167491183128,부산광역시 금정구 동부곡로5번길 53,부산광역시 강서구 대저2동 2162-2,부산광역시,금정구,동부곡로5번길,부산광역시,강서구,대저2동,서행 중앙대로 3.2km 서행 남해고속도로 4.9km 미확인 공항로 3.3km,25분,"26,250원",20km
864000000000000.0,2021-06-10 6:00,2021-06-10 6:00,35.1423916,128.949285,35.1768166,128.9508249,2175.173,32.032,214.214,54.054,191.191,99.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"35.1423916, 128.949285","35.1768166, 128.9508249",3.830449525268213,부산광역시 강서구 대저2동 5190,부산광역시 강서구 공항앞길 116,부산광역시,강서구,대저2동,부산광역시,강서구,공항앞길,원활 공항로 3.5km 미확인 유통단지1로 596m 미확인 유통단지1로58번길 643m,8분,"9,410원",5.7km
864000000000000.0,2021-06-10 6:00,2021-06-10 7:00,35.1541083,129.036265,35.1767016,128.9508266,5535.53,100.1,159.159,191.191,198.198,79.079,135.135,100.0856476,19.019,0.0,0.0,0.0,0.0,0.0,0.0,"35.1541083, 129.036265","35.1767016, 128.9508266",8.162672792047893,부산광역시 부산진구 가야3동 273-1,부산광역시 강서구 대저2동 2401-5,부산광역시,부산진구,가야3동,부산광역시,강서구,대저2동,서행 가야대로 1.4km 원활 동서고가로 7.2km 서행 남해제2고속도로지선 1.9km,17분,"19,670원",14km
864000000000000.0,2021-06-10 6:00,2021-06-10 6:00,35.1774783,128.9506666,35.18103,128.95525,3004.001,14.014,22.022,8.008,28.028,0.0,3.003,0.0,3.003,0.0,0.0,0.0,0.0,0.0,0.0,"35.1774783, 128.9506666","35.18103, 128.95525",0.5740189479061878,부산광역시 강서구 대저2동 2159,부산광역시 강서구 공항진입로 25,부산광역시,강서구,대저2동,부산광역시,강서구,공항진입로,미확인 공항앞길 326m 미확인 공항진입로 356m,2분,"4,550원",788m
864000000000000.0,2021-06-10 6:00,2021-06-10 7:00,35.2088666,128.67589,35.1662416,128.9568533,2544.542,157.157,1092.06665,265.265,237.237,316.316,350.35,320.32,119.119,0.0,0.0,0.0,0.0,0.0,0.0,"35.2088666, 128.67589","35.1662416, 128.9568533",25.96911683686597,경상남도 창원시 성산구 외동 853-5,부산광역시 강서구 대저2동 3186,경상남도,창원시,성산구,부산광역시,강서구,대저2동,원활 창원대로 5.4km 원활 금관대로 7km 원활 남해제2고속도로지선 16km,27분,"47,190원",31km
